epaid,facility_name,company,addr,city,state,zip,lat,lng,nh3_lbs,locations,accidents,latest_receipt_date,naics,territory,contact_name,contact_phone,contact_email
100000183847,"Tex-Mex Cold Storage, Inc.",Na,6665 E. 14th Street,Brownsville,TX,78521,25.937778,-97.440002,15000.0,5493,0,2010-01-20,49312,Micah,,,
100000057751,"Florida's Natural Growers, Inc.",Na,20205 US HWY 27 N,Lake Wales,FL,33853,27.909614,-81.600433,202177.0,5493,0,2021-04-28,311411,Micah,,,
100000190722,"Berkshire Refrigerated Warehousing, LLC",Na,4550 South Packers Avenue,Chicago,IL,60609,41.812003,-87.658728,15044.0,5493,0,2022-02-21,49312,Brian,,,
100000116304,"Baileyville, IL 714",Nutrien,11283 West Green Road,Baileyville,IL,61007,42.184911,-89.55611,560000.0,291,0,2024-08-06,42491,Brian,,,
100000080896,"Clarks Hill, IN 420",Nutrien,13934 South 700 East,Clarks Hill,IN,47930,40.215463,-86.772666,560000.0,291,0,2024-07-02,42491,Brian,,,
100000079906,"Paris, MO 429",Nutrien,26411 Monroe Road 720,Paris,MO,65275,39.368757,-91.997155,560000.0,291,0,2024-07-16,42491,Brian,,,
100000018401,"Holdrege, NE 2138",Nutrien,11828 733 Road,Holdrege,NE,68949,40.451658,-99.298779,56000.0,291,0,2024-07-24,325312,Brian,,,
100000198886,"Galatia, IL 2733",Nutrien,2015 Hamburg Road,Galatia,IL,62935,37.884013,-88.569181,540000.0,291,0,2024-06-11,42491,Brian,,,
100000012381,"Corning, IA 474",Nutrien,1823 Brooks Road,Corning,IA,50841,40.979113,-94.77096,720000.0,291,0,2024-07-24,42491,Brian,,,
100000059303,"Hopkinton, IA 6027",Nutrien,3105 Highway 38 South,Hopkinton,IA,52237,42.338282,-91.239786,720000.0,291,0,2024-08-01,42491,Brian,,,
100000068632,"Findlay, IL 2675",Nutrien,1913 State Highway 128,Findlay,IL,62534,39.495097,-88.80999,720000.0,291,0,2024-07-01,42491,Brian,,,
100000082634,"Dunlap, IL 2316 Satellite",Nutrien,7914 Park School Road,Dunlap,IL,61525,40.872788,-89.703408,800000.0,291,0,2024-07-09,42491,Brian,,,
100000012791,"Union City, TN 695",Nutrien,530 North Fifth Street,Union City,TN,38261,36.430213,-89.061108,570000.0,291,0,2024-07-02,42491,Micah,,,
100000013264,"Hooker, OK 2740 Satellite",Nutrien,953 Mile 46 Road,Hooker,OK,73954,36.869593,-101.197766,190000.0,291,0,2024-06-28,42491,Micah,,,
100000019534,Nutrien US LLC,Nutrien,9201 FM 1551,Borger,TX,79007,35.644722,-101.425278,1790500.0,291,0,2024-07-15,325311,Micah,DAWNETTA POMPEO,8068866640.0,DAWNETTA.POMPEO@NUTRIEN.COM
100000114173,"Breda, IA 6011",Nutrien,112 Granite Avenue,Breda,IA,51436,42.17951,-94.973322,820000.0,291,0,2024-07-16,42491,Brian,,,
100000052881,"Roberts, ID 226",Nutrien,272 North Bassett Road,Roberts,ID,83444,43.667231,-112.094552,820000.0,291,0,2024-06-11,325311 • 325312,Brian,,,
100000116082,"Lanark, IL 716",Nutrien,25885 SR 72,Lanark,IL,61046,42.154609,-89.822951,720000.0,291,0,2024-08-06,42491,Brian,,,
100000086587,"Jacksonville, IL 3570",Nutrien,1924 Sinclair Road,Jacksonville,IL,62650,39.802794,-90.120645,710000.0,291,0,2025-11-03,42491,Brian,,,
100000211148,"Attica, OH 3031",Nutrien,2600 State Route 4 South,Attica,OH,44807,41.086992,-82.880609,770000.0,291,0,2024-08-02,42491,Brian,,,
100000033885,"Oakley, KS 763",Nutrien,526 Prospect Avenue,Oakley,KS,67748,39.123985,-100.843601,76000.0,291,0,2024-06-12,325312,Brian,,,
100000043892,"Fairmont, NE 5212",Nutrien,2010 Road 11,Fairmont,NE,68354,40.632146,-97.634525,750000.0,291,0,2024-07-01,42491,Brian,,,
100000217543,"Clinton, KY 4140 Satellite",Nutrien,750 State Route 123 West,Clinton,KY,42031,36.657379,-89.008009,280000.0,291,0,2024-07-01,42491,Micah,,,
100000221306,"Clay Center, KS 5535",Nutrien,1169 18th Road,Clay Center,KS,67432,39.38237,-97.171632,580000.0,291,0,2024-06-28,42491,Brian,,,
100000137746,"Wheatland, IN 570",Nutrien,10412 East Highway 150/50,Wheatland,IN,47597,38.671322,-87.345343,510000.0,291,0,2024-06-28,42491,Brian,,,
100000118017,"Hamler, OH 627",Nutrien,8-767 County Road F,Hamler,OH,43524,41.238056,-84.032623,510000.0,291,0,2025-05-01,42491,Brian,,,
100000090518,"Oskaloosa, IA 437 Satellite",Nutrien,3070 Independence Avenue,Oskaloosa,IA,52577,41.209274,-92.707308,490000.0,291,0,2024-07-30,42491,Brian,,,
100000240303,"Macomb, IL 2320",Nutrien,15085 North 950th Road,Macomb,IL,61455,40.41602,-90.616969,490000.0,291,0,2024-06-29,42491,Brian,,,
100000095318,"Low Moor, IA 2851 Satellite",Nutrien,2590 380th Street,Low Moor,IA,52757,41.803456,-90.359327,480000.0,291,0,2024-07-24,42491,Brian,,,
100000156341,"Toledo, IL 725 Satellite",Nutrien,515 West Main Street,Toledo,IL,62468,39.274505,-88.255572,480000.0,291,0,2024-07-25,42491,Brian,,,
100000206038,"Plymouth, WA 7061",Nutrien,187710 South Plymouth Industrial Rd,Plymouth,WA,99346,45.937987,-119.382112,480000.0,291,0,2024-06-11,325312,Brian,,,
100000117107,"Mendon, MI 635",Nutrien,25479 Prairie Corners Road,Mendon,MI,49072,41.983774,-85.459327,600000.0,291,0,2024-07-03,42491,Brian,,,
100000070674,"Atalissa, IA 6004",Nutrien,2015 Highway 6,Atalissa,IA,52720,41.568707,-91.170086,470000.0,291,0,2024-07-01,42491,Brian,,,
100000112308,"Irvington, IA 6017",Nutrien,121 East Street,Irvington,IA,50560,43.007578,-94.193775,470000.0,291,0,2024-08-05,42491,Brian,,,
100000125349,"Lafayette, IN 496",Nutrien,4151 North 625 East,Lafayette,IN,47905,40.477106,-86.783951,470000.0,291,0,2024-07-08,42491,Brian,,,
100000211371,"Poseyville, IN 3272 Satellite",Nutrien,10456 State Road 165,Poseyville,IN,47633,38.20281,-87.782292,470000.0,291,0,2024-08-05,42491,Brian,,,
100000118231,"Ansonia, OH 745",Nutrien,100 West Vernier Street,Ansonia,OH,45303,40.210859,-84.639804,470000.0,291,0,2025-06-18,42491,Brian,,,
100000180458,"Conrad, IA 1410",Nutrien,16950 330th Street,Conrad,IA,50621,42.223455,-92.886626,460000.0,291,0,2024-07-15,42491,Brian,,,
100000210327,"Moravia, IA 1334",Nutrien,2774 Highway 5,Moravia,IA,52571,40.902567,-92.828584,460000.0,291,0,2024-07-10,42491,Brian,,,
100000010515,"Beloit, KS 5533 Satellite",Nutrien,1212 East Cottonwood Street,Beloit,KS,67420,39.453163,-98.094981,460000.0,291,0,2024-07-10,42491,Brian,,,
100000099261,"Nutrien US LLC -  Homestead, NE",Nutrien,22292 Southwest 89th Street,Beatrice,NE,68310,40.310276,-96.83992,45000000.0,291,0,2018-03-14,42491,Brian,,,
100000093114,"Keswick, IA 432",Nutrien,14303 Highway 22 South,Keswick,IA,50136,41.448392,-92.240932,450000.0,291,0,2024-07-09,42491,Brian,,,
100000202425,"Worthington, IA 6077 Satellite",Nutrien,29294 East Worthington Road,Worthington,IA,52078,42.396518,-91.058954,450000.0,291,0,2024-07-31,42491,Brian,,,
100000116386,"Greenfield, IL 719",Nutrien,1373 East State Route 108,Greenfield,IL,62044,39.304117,-90.172133,450000.0,291,0,2024-06-28,42491,Brian,,,
100000125768,"Morenci, MI 634",Nutrien,209 East Coomer Street,Morenci,MI,49256,41.725598,-84.213025,450000.0,291,0,2024-07-15,42491,Brian,,,
100000187601,"Odebolt, IA 6018 Satellite (North Walnut)",Nutrien,200 North Walnut,Odebolt,IA,51458,42.315398,-95.253058,600000.0,291,0,2024-06-10,42491,Brian,,,
100000087853,"Mt Sterling, IL 411",Nutrien,547 US 24 1050 North Avenue,Mt Sterling,IL,62353,39.996401,-90.8086,600000.0,291,0,2024-06-28,42491,Brian,,,
100000189752,"Taft, TX 5001",Nutrien,103 Davis Road,Taft,TX,78390,27.979577,-97.400905,93000.0,291,0,2024-06-04,325311,Micah,,,
100000101542,"Pleasant Hill, IL 3515",Nutrien,108 King Road,Pleasant Hill,IL,62366,39.437567,-90.877928,600000.0,291,0,2024-06-28,42491,Brian,,,
100000112558,Nutrien US LLC - Finley Area,Nutrien,231610 East Game Farm Road,Kennewick,WA,99337,46.1558,-119.0083,44000000.0,291,3,2023-09-14,325311 • 42491,Brian,,,
100000117615,"Delphi, IN 586",Nutrien,850 South Prince William Road,Delphi,IN,46923,40.533316,-86.634573,440000.0,291,0,2024-07-08,42491,Brian,,,
100000085944,"Saline, MI 881",Nutrien,9325 West Michigan Avenue,Saline,MI,48176,42.147125,-83.823356,440000.0,291,0,2024-07-15,42491,Brian,,,
100000043909,"Deshler, NE 5205",Nutrien,5372 Highway 136,Deshler,NE,68340,40.147738,-97.731099,430000.0,291,0,2024-07-12,42491,Brian,,,
100000117991,"Delphos, OH 629",Nutrien,11713A Spencerville Delphos Road,Delphos,OH,45833,40.834792,-84.359001,430000.0,291,0,2024-07-30,42491,Brian,,,
100000103434,"Colo, IA 416 Satellite",Nutrien,23959 730th Avenue,Colo,IA,50056,42.008755,-93.251771,420000.0,291,0,2024-08-05,42491,Brian,,,
100000080066,"Galesburg, IL 408 Satellite",Nutrien,219 Knox Highway 10,Galesburg,IL,61401,40.919784,-90.398606,420000.0,291,0,2024-06-28,42491,Brian,,,
100000101613,"Strawn, IL 0419 Satellite",Nutrien,25489 East 200 North Road,Strawn,IL,61775,40.647413,-88.433608,420000.0,291,0,2024-07-24,42491,Brian,,,
100000108723,"McLeansboro, IL 3285 Satellite",Nutrien,5611 County Road 1650 North,McLeansboro,IL,62859,38.147269,-88.600478,420000.0,291,0,2024-07-09,42491,Brian,,,
100000115476,"Carlyle, IL 718",Nutrien,18929 Stolletown Road,Carlyle,IL,62231,38.695887,-89.447317,420000.0,291,0,2024-07-09,42491,Brian,,,
100000033876,"Copeland, KS 668",Nutrien,498 WW Road,Copeland,KS,67837,37.680844,-100.688538,420000.0,291,0,2024-06-29,42491,Brian,,,
100000104246,"Atchison, KS 2861",Nutrien,1699 US 59,Atchison,KS,66002,39.557342,-95.14282,420000.0,291,0,2024-06-28,42491,Brian,,,
100000234677,"Jetmore, KS 697",Nutrien,28010 South East F Road,Jetmore,KS,67854,37.988796,-99.898225,420000.0,291,0,2024-07-15,42491,Brian,,,
100000185756,"Waverly, KY 785",Nutrien,4630 US Highway 60 East,Waverly,KY,42462,37.700724,-87.835898,400000.0,291,0,2024-07-09,42491,Micah,,,
100000205146,"Lakefield, MN 6020",Nutrien,44107 Okabena Road,Lakefield,MN,56150,43.682039,-95.191398,420000.0,291,0,2024-06-28,42491,Brian,,,
100000116377,"Leipsic, OH 630",Nutrien,3 South Street,Leipsic,OH,45856,41.107273,-83.995305,420000.0,291,0,2024-07-02,42491,Brian,,,
100000158795,"Minier, IL 2672",Nutrien,103 North Main Street,Minier,IL,61759,40.43378,-89.318762,410000.0,291,0,2024-07-03,42491,Brian,,,
100000010392,"Chester, NE 5534",Nutrien,421 Croop Street,Chester,NE,68327,40.007066,-97.61536,410000.0,291,0,2024-08-01,42491,Brian,,,
100000049501,"Moweaqua, IL 3286 Satellite",Nutrien,2628 East 1500 North Road,Moweaqua,IL,62550,39.566324,-89.03734,400000.0,291,0,2024-07-01,42491,Brian,,,
100000089922,"Westboro, MO 448",Nutrien,501 South Adams,Westboro,MO,64498,40.534039,-95.318648,400000.0,291,0,2024-07-30,42491,Brian,,,
100000204682,"Memphis, MO 1350",Nutrien,14431 State Highway 15,Memphis,MO,63555,40.530065,-92.160792,400000.0,291,0,2024-07-03,42491,Brian,,,
100000091134,"Gibson, IA 430",Nutrien,101 West Elevator,Gibson,IA,50104,41.480238,-92.395543,390000.0,291,0,2024-07-16,42491,Brian,,,
100000087309,"Pittsfield, IL 3569",Nutrien,25134 US Highway 54,Pittsfield,IL,62363,39.620773,-90.799582,390000.0,291,0,2024-06-28,42491,Brian,,,
100000116046,"Oaktown, IN 566",Nutrien,12753 North Agri-Care Road,Oaktown,IN,47561,38.865909,-87.432576,390000.0,291,0,2024-07-09,42491,Brian,,,
100000082572,"Wall Lake, IA 6026",Nutrien,202 East 1st Street,Wall Lake,IA,51466,42.27056,-95.086792,380000.0,291,0,2024-08-01,42491,Brian,,,
100000070371,"Keytesville, MO 2654",Nutrien,29260 Highway K,Keytesville,MO,65261,39.41746,-92.928469,610000.0,291,0,2024-08-01,42491,Brian,,,
100000117839,"Circleville, OH 3049 Satellite",Nutrien,2481 State Route 56 West,Circleville,OH,43113,39.608463,-83.000697,610000.0,291,0,2024-09-04,42491,Brian,,,
100000147414,"Blakesburg, IA 2421 Satellite",Nutrien,104 East South Street,Blakesburg,IA,52536,40.959359,-92.635911,61000.0,291,0,2024-08-05,42491,Brian,,,
100000079666,"Dwight, IL 466",Nutrien,418 East North Street,Dwight,IL,60420,41.099985,-88.417451,380000.0,291,0,2024-08-04,42491,Brian,,,
100000084561,"Sciota, IL 3562 Satellite",Nutrien,101 East Washington Street,Sciota,IL,61475,40.559509,-90.747973,380000.0,291,0,2024-07-17,42491,Brian,,,
100000116705,"Amboy, IN 536",Nutrien,10643 South 550 East,Amboy,IN,46911,40.612542,-85.963546,380000.0,291,0,2024-07-15,42491,Brian,,,
100000005086,"Sublette, KS 2882 Satellite",Nutrien,908 West La Lande Avenue,Sublette,KS,67877,37.479235,-100.859471,380000.0,291,0,2024-07-01,42491,Brian,,,
100000214617,"Anthon, IA 6062",Nutrien,207 Miller Avenue,Anthon,IA,51004,42.389684,-95.867549,38000.0,291,0,2024-06-07,42491,Brian,,,
100000001990,"Loda, IL 3614 Satellite",Nutrien,Route 45 and 100 North Road,Loda,IL,60948,40.5039,-88.07826,370000.0,291,0,2024-07-31,42491,Brian,,,
100000116616,"Nokomis, IL 724",Nutrien,192 North Western Avenue,Nokomis,IL,62075,39.286376,-89.305867,370000.0,291,0,2024-07-31,42491,Brian,,,
100000111023,"Danbury, IA 6010",Nutrien,105 South East Street,Danbury,IA,51019,42.2331,-95.720551,620000.0,291,0,2024-08-19,42491,Brian,,,
100000170272,"Wellsburg, IA 2407",Nutrien,107 North Washington Street,Wellsburg,IA,50680,42.438907,-92.931868,620000.0,291,0,2024-07-01,42491,Brian,,,
100000074787,"Lewistown, IL 2171 Satellite",Nutrien,13191 North US Highway 24,Lewistown,IL,61542,40.380252,-90.1572,620000.0,291,0,2024-06-29,42491,Brian,,,
100000098663,"Yates City, IL 404",Nutrien,1871 South Depot,Yates City,IL,61572,40.785113,-90.08626,620000.0,291,0,2024-08-16,42491,Brian,,,
100000033821,"Kinsley, KS 5582 Satellite",Nutrien,140th U Road,Kinsley,KS,67547,37.791643,-99.322233,620000.0,291,0,2024-07-03,42491,Brian,,,
100000059045,"Mediapolis, IA 6036 Satellite",Nutrien,23054 Highway 61,Mediapolis,IA,52637,41.014872,-91.169631,610000.0,291,0,2024-07-11,42491,Brian,,,
100000204343,"Fairfield, IA 1343",Nutrien,2091 115 Street,Fairfield,IA,52556,41.141793,-91.966294,610000.0,291,0,2024-07-26,42491,Brian,,,
100000115608,"Ottawa, OH 628",Nutrien,12015 SR 65,Ottawa,OH,45875,41.007393,-84.049391,370000.0,291,0,2024-07-02,42491,Brian,,,
100000188557,"Odebolt, IA 6018 Satellite (North Des Moines St)",Nutrien,200 North Des Moines Street,Odebolt,IA,51458,42.314167,-95.245833,37000.0,291,0,2024-06-10,42491,Brian,,,
100000056529,"Salem, OR 104",Nutrien,3630 Brooklake Road Northeast,Salem,OR,97303,45.048705,-122.987523,369000.0,291,0,2024-06-07,325311 • 325312,Brian,,,
100000211157,"Percival, IA 6046 Satellite",Nutrien,1975 206th Street,Percival,IA,51648,40.750879,-95.808854,360000.0,291,0,2024-07-09,42491,Brian,,,
100000116466,"Rushville, IN 584 Satellite",Nutrien,2232 West State Road 44,Rushville,IN,46173,39.599584,-85.484374,360000.0,291,0,2024-07-31,42491,Brian,,,
100000012504,"Creston, IA 2706 Satellite",Nutrien,1308 Howard Street,Creston,IA,50801,41.058159,-94.345663,350000.0,291,0,2024-07-02,42491,Brian,,,
100000111158,"Coin, IA 6013",Nutrien,2838 Hackberry Avenue,Coin,IA,51636,40.634444,-95.225,350000.0,291,0,2024-07-30,42491,Brian,,,
100000206458,"Clarksville, IA 2662 Satellite",Nutrien,29940 160th Street,Clarksville,IA,50619,42.817206,-92.635628,350000.0,291,0,2024-06-28,42491,Brian,,,
100000079737,"Onarga, IL 452",Nutrien,112 West Washington Street,Onarga,IL,60955,40.72404,-88.005004,350000.0,291,0,2024-07-15,42491,Brian,,,
100000197066,"Wyoming, IA 485 Satellite",Nutrien,5999 75th Street,Wyoming,IA,52362,42.041404,-90.994863,630000.0,291,0,2024-07-11,42491,Brian,,,
100000087988,"Keenes, IL 3282",Nutrien,229 County Road 1250 North,Keenes,IL,62851,38.439637,-88.659734,630000.0,291,0,2024-07-11,42491,Brian,,,
100000116457,"New Baden, IL 717",Nutrien,1510 Bottom Road,New Baden,IL,62265,38.458408,-89.674434,630000.0,291,0,2024-07-15,42491,Brian,,,
100000130547,"Hardin, KY 662",Nutrien,1266 Brewers Highway,Hardin,KY,42048,36.765944,-88.326959,670000.0,291,0,2024-06-28,42491,Micah,,,
100000116028,"North Salem, IN 563",Nutrien,400 South McKinley Street,North Salem,IN,46165,39.855613,-86.64963,350000.0,291,0,2024-07-24,42491,Brian,,,
100000223714,"Garden City, KS 917 Satellite",Nutrien,2825 East Tennis Road,Garden City,KS,67846,38.164144,-100.838421,350000.0,291,0,2024-07-24,42491,Brian,,,
100000114495,"Sac City, IA 6035 Satellite",Nutrien,3316 255th Street,Sac City,IA,50583,42.420885,-94.934731,340000.0,291,0,2024-07-02,42491,Brian,,,
100000125508,"Bloomfield, IA 2422 Satellite",Nutrien,31425 215th Street,Bloomfield,IA,52537,40.747974,-92.237589,340000.0,291,0,2024-07-02,42491,Brian,,,
100000010702,"Courtland, KS 5536",Nutrien,261 Queen Road,Courtland,KS,66939,39.78407,-97.902222,340000.0,291,0,2024-06-28,42491,Brian,,,
100000178256,"Bendena, KS 4151 Satellite",Nutrien,882 KS-7,Bendena,KS,66008,39.737582,-95.142697,340000.0,291,0,2024-07-01,42491,Brian,,,
